date,location,latitude,longitude,subject_race,subject_sex,violation,citation_issued,warning_issued,outcome
12/7/07,S PARK ST,43.05094550000001,-89.3945124,white,female,violate red traffic signal,TRUE,FALSE,citation
12/7/07,HIGHWAY 51,43.0901362,-89.3136195,black,male,violate red traffic signal,TRUE,FALSE,citation
12/7/07,HIGHWAY 51,43.0901362,-89.3136195,black,male,knowingly oper w/o valid dl causing damage to prop,TRUE,FALSE,citation
12/7/07,S PARK ST,43.05094550000001,-89.3945124,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/7/07,REGENT ST,43.0680291,-89.4367877,hispanic,male,operate w/o valid license (2nd),TRUE,FALSE,citation
12/7/07,REGENT ST,43.0680291,-89.4367877,hispanic,male,automobile following too closely,TRUE,FALSE,citation
12/7/07,ODANA RD,43.05007379999999,-89.4705018,white,male,failure to yield from stop sign,TRUE,FALSE,citation
12/7/07,N BROOM ST,43.07315420000001,-89.3912406,white,male,failure to yield from stop sign,TRUE,FALSE,citation
12/7/07,W DOTY ST,43.069849700000006,-89.3869155,white,male,improper left turn/approach (2nd+),TRUE,FALSE,citation
12/7/07,1700 REGENT ST,43.06783770000001,-89.4149757,white,female,automobile following too closely,TRUE,FALSE,citation
12/8/07,GRAFTON RD,43.0748504,-89.2850734,white,male,operating after revocation,TRUE,FALSE,citation
12/8/07,1700 FISH HATCHERY RD,43.0495343,-89.4019169,hispanic,male,speeding over fixed limits (16-19 mph),TRUE,FALSE,citation
12/8/07,W JOHNSON ST,43.07205379999999,-89.3982694,white,female,driving against traffic(one-way st),TRUE,FALSE,citation
12/8/07,S WHITNEY WAY,43.0463612,-89.4734031,white,female,inattentive driving,TRUE,FALSE,citation
12/8/07,RUTLEDGE ST,43.0841166,-89.3577429,white,male,fail/stop at stop sign,TRUE,FALSE,citation
12/8/07,W WILSON ST,43.0689868,-89.3863792,asian/pacific islander,female,346.13(1) deviating from traffic lane,FALSE,TRUE,warning
12/8/07,W MIFFLIN ST,43.0722158,-89.3899998,white,female,operating unreg. or expired vehicle <=10000 lbs,TRUE,FALSE,citation
12/8/07,N PARK ST,43.0723529,-89.4007544,white,male,inattentive driving,TRUE,FALSE,citation
12/8/07,1221 WILLIAMSON ST,43.08365209999999,-89.3628291,white,male,hit and run-property adjacent to highway,TRUE,FALSE,citation
12/8/07,BIRGE TER,43.0735794,-89.4185691,white,female,unsafe backing of vehicle,TRUE,FALSE,citation
12/8/07,PRAIRIE RD,43.0285045,-89.4888435,hispanic,male,fail/stop at stop sign,TRUE,FALSE,citation
12/8/07,PRAIRIE RD,43.0285045,-89.4888435,hispanic,male,operating after suspension (4th+),TRUE,FALSE,citation
12/8/07,1221 WILLIAMSON ST,43.08365209999999,-89.3628291,hispanic,male,automobile following too closely,TRUE,FALSE,citation
12/8/07,MILWAUKEE ST,43.0988773,-89.3015781,hispanic,male,violate red traffic signal,TRUE,FALSE,citation
12/8/07,MONROE ST,43.0603867,-89.4241002,white,male,failure to yield from alley or driveway,TRUE,FALSE,citation
12/8/07,PORTAGE RD,43.1537365,-89.3083066,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/8/07,NAKOMA RD,43.0445682,-89.443038,black,male,driving too fast for conditions,TRUE,FALSE,citation
12/8/07,S FAIRCHILD ST,43.072399,-89.3851022,hispanic,male,red signal violation  3pts  $83.80,FALSE,TRUE,warning
12/8/07,E WASHINGTON AV,43.1109638,-89.333606,white,male,failure to yield   $83.80  4pts,FALSE,TRUE,warning
12/8/07,E GORHAM ST,43.08380379999999,-89.3789281,white,male,operating after revocation (3rd),TRUE,FALSE,citation
12/8/07,E GORHAM ST,43.08380379999999,-89.3789281,white,male,driving too fast for conditions-work area,TRUE,FALSE,citation
12/8/07,BUCKEYE RD,43.0756518,-89.318355,white,male,driving against traffic- divided street,TRUE,FALSE,citation
12/8/07,W WILSON ST,43.0689868,-89.3863792,black,male,driving against traffic  $83.80   3pts,FALSE,TRUE,warning
12/9/07,W DAYTON ST,43.07094710000001,-89.3999523,hispanic,male,operate w/o valid license,TRUE,FALSE,citation
12/9/07,W DAYTON ST,43.07094710000001,-89.3999523,hispanic,male,unreasonable/imprudent speed-work area,TRUE,FALSE,citation
12/9/07,N LAKE ST,43.0738264,-89.3974152,white,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/9/07,WILLIAMSON ST,43.081688,-89.3666241,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/9/07,STOUGHTON,42.91694620000001,-89.2178937,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/9/07,2400 BLOCK OF STOUGHTON,43.05912670000001,-89.3102854,white,male,inattentive driving,TRUE,FALSE,citation
12/9/07,ATWOOD AVE,43.0926361,-89.3382415,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/9/07,ATWOOD AVE,43.0926361,-89.3382415,white,female,speeding over fixed limits (1-10 mph),TRUE,FALSE,citation
12/9/07,COTTAGE GROVE RD,43.0845387,-89.2857204,white,male,speeding over fixed limits (11-15 mph),TRUE,FALSE,citation
12/10/07,E GORHAM ST,43.08380379999999,-89.3789281,white,female,operating while intox.,TRUE,FALSE,citation
12/10/07,E GORHAM ST,43.08380379999999,-89.3789281,white,female,driving against traffic(one-way st),TRUE,FALSE,citation
12/10/07,GORHAM ST,43.075250800000006,-89.3910698,white,female,operating while intox.,TRUE,FALSE,citation
12/10/07,E GORHAM ST,43.08380379999999,-89.3789281,white,female,"owi-""""bac .1%+""""",TRUE,FALSE,citation
12/10/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,hispanic,male,hit and run,TRUE,FALSE,citation
12/10/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,hispanic,male,operating after revocation,TRUE,FALSE,citation
12/10/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,hispanic,male,knowingly oper w/o valid dl causing damage to prop,TRUE,FALSE,citation
12/10/07,5100 BLOCK OF MONONA DR,43.0646604,-89.3260743,white,male,failure to keep vehicle under control,TRUE,FALSE,citation
12/10/07,MINERAL POINT RD,43.0606544,-89.5001959,white,male,failure to yield from stop sign,TRUE,FALSE,citation
12/10/07,2900 BLOCK PROGRESS RD,43.05573629999999,-89.3048937,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/10/07,REGENT ST,43.0680291,-89.4367877,white,male,follow too close,FALSE,TRUE,warning
12/10/07,UNIVERSITY AVE,43.0753005,-89.445814,black,female,operating after revocation,TRUE,FALSE,citation
12/10/07,UNIVERSITY AVE,43.0753005,-89.445814,black,female,automobile following too closely,TRUE,FALSE,citation
12/10/07,JUNCTION RD,43.06726,-89.5241607,black,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/10/07,REGENT ST,43.0680291,-89.4367877,NA,female,violate red traffic signal,TRUE,FALSE,citation
12/10/07,W WASHINGTON AVE,43.06853510000001,-89.3930027,white,female,red signal violation  $83.80 3 pts,FALSE,TRUE,warning
12/10/07,RAYMOND RD,43.0317059,-89.4970321,hispanic,female,operate w/o valid license,TRUE,FALSE,citation
12/10/07,RAYMOND RD,43.0317059,-89.4970321,hispanic,male,failure to yield from stop sign,TRUE,FALSE,citation
12/10/07,RAYMOND RD,43.0317059,-89.4970321,hispanic,male,operating after suspension,TRUE,FALSE,citation
12/10/07,SAINT PAUL AVE,43.0981294,-89.3412919,white,male,hit and run-unattended vehicle,TRUE,FALSE,citation
12/10/07,S BLAIR ST,43.0770309,-89.3767586,white,female,operating after suspension (2nd),TRUE,FALSE,citation
12/10/07,700 E WASHINGTON,43.0798491,-89.3770045,black,male,violate red traffic signal,TRUE,FALSE,citation
12/10/07,W JOHNSON ST,43.07205379999999,-89.3982694,white,male,automobile following too closely,TRUE,FALSE,citation
12/10/07,NB 2600 RIMROCK RD,43.03339952300007,-89.38075254,white,male,operation w/o required lamps lighted,FALSE,TRUE,warning
12/10/07,REGENT ST,43.0680291,-89.4367877,white,female,violate red traffic signal,TRUE,FALSE,citation
12/11/07,2590 EB HWY 12,43.0319218,-89.2005715,hispanic,male,driving too fast for conditions,TRUE,FALSE,citation
12/11/07,2590 EB HWY 12,43.0319218,-89.2005715,hispanic,male,operate w/o valid license,TRUE,FALSE,citation
12/11/07,POST RD,43.0259502,-89.4112806,white,male,windshield/windows obscured  $160.50,FALSE,TRUE,warning
12/11/07,OLD SAUK RD,43.0757533,-89.5000872,white,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/11/07,S WHITNEY WAY,43.0463612,-89.4734031,white,male,driving too fast for conditions,TRUE,FALSE,citation
12/11/07,N SHORE DR,43.06531079999999,-89.3890031,white,female,red signal violation $83.80/4pts,FALSE,TRUE,warning
12/11/07,E WASHINGTON AVE,43.1109638,-89.333606,white,female,too fast for conditions appropriate reduced s,FALSE,TRUE,warning
